Unnamed: 0,cafe_id,cafe,address,addrbunho,image_url
16,258547215,스타벅스 제주신화월드R점,제주특별자치도 서귀포시 안덕면 서광리,산 24,http://t1.daumcdn.net/place/83CA2D2165B2464F82FE62508A3DC151
17,1233788850,카페 오픈,제주특별자치도 제주시 이도이동,1183-33,
18,292772848,파구스소소,제주특별자치도 제주시 한경면 고산리,267-3,http://t1.daumcdn.net/localfiy/74C47EC1FA1C4241A7DFF5F410B1921B
19,2106887048,흙먹는고양이,제주특별자치도 제주시 구좌읍 세화리,1-9,
20,2035112788,뚜르셀프카페,제주특별자치도 서귀포시 표선면 가시리,1877-6,http://t1.daumcdn.net/localfiy/864D996CBF8D464598D8450C31E22D71
21,1076824196,타이완슈가 제주시청점,제주특별자치도 제주시 이도이동,1768-16,http://t1.daumcdn.net/localfiy/64543CCD9BBF48758A0C0FC42C63F0E7
22,19331827,해원커피숍,제주특별자치도 제주시 한림읍 한림리,1587-2,
23,26303937,마이마더카페,제주특별자치도 제주시 용담삼동,517-4,http://t1.daumcdn.net/cfile/242D1F3D5461CDB308
24,1461897927,달콤커피 볼륨1603 제주하귀점,제주특별자치도 제주시 애월읍 하귀1리,1603-2,http://t1.daumcdn.net/localfiy/912B84A3B22A4622AB86B8DF5B33A21B
25,1571910152,스물다섯,제주특별자치도 제주시 노형동,1275-11,http://t1.daumcdn.net/place/D1A0C46ABDF64B638D272E88F9D6288A
26,1693045837,비엔광양지점,제주특별자치도 제주시 이도일동,1245-5,
27,1891544316,알리바바 이도일점,제주특별자치도 제주시 이도일동,1248-1,http://t1.daumcdn.net/localfiy/7E4A317D920849309928E860A348B6E4
28,1915903142,울트라마린,제주특별자치도 제주시 한경면 판포리,1611,http://t1.daumcdn.net/place/242779CD00D2483DB7D656DDD8BCC1D0
29,676716331,카페평화쉼터,제주특별자치도 제주시 봉개동,275,
30,26336425,알라스카인제주 용담점,제주특별자치도 제주시 용담삼동,2378,http://t1.daumcdn.net/place/DE41FAEA7B564AEDA6FD612D20A744B8
31,1867906481,베터플랫,제주특별자치도 제주시 삼도이동,1260-1,
32,21522585,블랙스톤 협재지점,제주특별자치도 제주시 한림읍 협재리,1416-1,
33,24873832,제대가는길,제주특별자치도 제주시 아라일동,358-6,http://t1.daumcdn.net/cfile/2753D33853916EDA0A
34,1455842682,평대우유차,제주특별자치도 제주시 구좌읍 평대리,2031-2,
35,25458704,제주몽,제주특별자치도 서귀포시 중문동,2026,http://t1.daumcdn.net/place/480F45CFE096417089702E45E649233C
36,22459788,커피림,제주특별자치도 제주시 연동,1315,http://t1.daumcdn.net/cfile/224B464A55C487DF1D
37,27528954,갤러리이니앤카페,제주특별자치도 제주시 애월읍 유수암리,2999,http://t1.daumcdn.net/place/36940AB967504443B99543D50BAD7E2F
38,380586209,혜밀,제주특별자치도 제주시 구좌읍 하도리,1759,http://t1.daumcdn.net/localfiy/searchregister_186582036
39,2027455892,배배커피,제주특별자치도 서귀포시 서귀동,418-28,
40,20648195,문즈,제주특별자치도 제주시 오라일동,2447-28,
41,1916449850,마커스카페,제주특별자치도 제주시 구좌읍 행원리,1537-5,
42,166623372,언리미티드 이스케이프,제주특별자치도 제주시 일도2동,392-21,
43,15788593,오렌지,제주특별자치도 제주시 한림읍 한림리,1350-1,
44,1356521728,카페주파수,제주특별자치도 제주시 이도2동,1049-7,
45,915606273,아르크애월,제주특별자치도 제주시 애월읍 고성리,산 131,
46,26392726,커피99.9,제주특별자치도 제주시 노형동,103-5,http://t1.daumcdn.net/place/F1B848B2321745C184C76768CFFBB834
47,1003258874,플랜에이스터디라운지,제주특별자치도 제주시 아라일동,6091,http://t1.daumcdn.net/place/39DE84BFC9A74EE781860CB7B2109454
48,378533601,카페원웨이,제주특별자치도 제주시 한경면 금등리,652-4,http://t1.daumcdn.net/localfiy/searchregister_1502283331
