,addrbunho,address,cafe,cafe_id,image_url,franchise,si,address1,town,ri,final_address,lat,lng
521,1397-6,제주특별자치도 제주시 구좌읍 세화리,에릭스에스프레소,445133179,http://t1.daumcdn.net/place/B3C2924C190241359781DA77D9B80199,0.0,제주시,"['제주특별자치도', '제주시', '구좌읍', '세화리']",구좌읍,세화리,제주특별자치도 제주시 구좌읍 세화리 1397-6,33.521431128680014,126.85889294202235
3367,3164,제주특별자치도 제주시 구좌읍 평대리,비자나무숲카페,20621853,http://t1.daumcdn.net/place/A8DFAB2EBD4C4062809010983C58C4E5,0.0,제주시,"['제주특별자치도', '제주시', '구좌읍', '평대리']",구좌읍,평대리,제주특별자치도 제주시 구좌읍 평대리 3164,33.49158833598991,126.81042400453384
855,272-35,제주특별자치도 제주시 조천읍 함덕리,앤타르트,1202641851,http://t1.daumcdn.net/localfiy/1DF38741E0D84252BA884376EDC0EEDD,0.0,제주시,"['제주특별자치도', '제주시', '조천읍', '함덕리']",조천읍,함덕리,제주특별자치도 제주시 조천읍 함덕리 272-35,33.54067802561676,126.67341684872997
1454,2401-46,제주특별자치도 제주시 오라삼동,슈퍼윙스키즈카페 제주점,1134224386,,0.0,제주시,"['제주특별자치도', '제주시', '오라삼동']",제주시,제주시,제주특별자치도 제주시 오라삼동 2401-46,33.499763513460614,126.508441620293
1596,931,제주특별자치도 제주시 노형동,다희연포르테,27536761,http://t1.daumcdn.net/place/AF40A349F78E4277BE32BE10C3B613E5,0.0,제주시,"['제주특별자치도', '제주시', '노형동']",제주시,제주시,제주특별자치도 제주시 노형동 931,33.48535000988146,126.48302262922988
1468,501-1,제주특별자치도 제주시 구좌읍 월정리,월정역,25429740,,0.0,제주시,"['제주특별자치도', '제주시', '구좌읍', '월정리']",구좌읍,월정리,제주특별자치도 제주시 구좌읍 월정리 501-1,33.55532443940863,126.79475674821813
1043,416-15,제주특별자치도 제주시 일도2동,지니어스키즈카페,1609166877,http://t1.daumcdn.net/localfiy/C86E004D60AE42FFA1ADE322ADD7CEB5,0.0,제주시,"['제주특별자치도', '제주시', '일도2동']",제주시,제주시,제주특별자치도 제주시 일도2동 416-15,33.50415211304878,126.54223968748039
2976,2881-1,제주특별자치도 제주시 한경면 판포리,인판포,814556793,,0.0,제주시,"['제주특별자치도', '제주시', '한경면', '판포리']",한경면,판포리,제주특별자치도 제주시 한경면 판포리 2881-1,33.36557908769325,126.19810991098375
1221,342-2,제주특별자치도 제주시 조천읍 교래리,머들,21527083,,0.0,제주시,"['제주특별자치도', '제주시', '조천읍', '교래리']",조천읍,교래리,제주특별자치도 제주시 조천읍 교래리 342-2,33.43499816897173,126.68826174539194
804,261-59,제주특별자치도 제주시 연동,project064다방,26784906,http://t1.daumcdn.net/place/80FF1046A8404EC9AE846CDE63467E05,0.0,제주시,"['제주특별자치도', '제주시', '연동']",제주시,제주시,제주특별자치도 제주시 연동 261-59,33.4887953525813,126.48854145464065
1294,2812-10,제주특별자치도 서귀포시 색달동,스위트호텔 커피숍,21455106,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '색달동']",서귀포시,서귀포시,제주특별자치도 서귀포시 색달동 2812-10,33.24933228795411,126.40820779319652
2028,1293-1,제주특별자치도 제주시 한림읍 귀덕리,지니의뜰에 커피나리다,19974848,http://t1.daumcdn.net/place/BE06F0C08DD742809BCC52AB19EDD922,0.0,제주시,"['제주특별자치도', '제주시', '한림읍', '귀덕리']",한림읍,귀덕리,제주특별자치도 제주시 한림읍 귀덕리 1293-1,33.43854159359213,126.29597325847952
1870,1795,제주특별자치도 제주시 이호일동,미리로,85293537,http://t1.daumcdn.net/localfiy/29E62F76447E4DEE87684A4DC2C51099,0.0,제주시,"['제주특별자치도', '제주시', '이호일동']",제주시,제주시,제주특별자치도 제주시 이호일동 1795,33.49766800437532,126.44841895525978
3316,1742,제주특별자치도 제주시 도두일동,아모렉스7080,1502880648,,0.0,제주시,"['제주특별자치도', '제주시', '도두일동']",제주시,제주시,제주특별자치도 제주시 도두일동 1742,33.507489574098365,126.47024304846778
757,640-1,제주특별자치도 제주시 내도동,카페더문,730657517,http://t1.daumcdn.net/place/AFBFB3FC1A764B279C6E20DD4CB31A14,0.0,제주시,"['제주특별자치도', '제주시', '내도동']",제주시,제주시,제주특별자치도 제주시 내도동 640-1,33.492864941396505,126.43732298461573
