,final_address,addrbunho,address,cafe,cafe_id,image_url,franchise,si,town,ri,address1,lat,lng
2934,제주특별자치도 제주시 애월읍 소길리 952-2,952-2,제주특별자치도 제주시 애월읍 소길리,멍멍플레이스,376678708,http://t1.daumcdn.net/localfiy/09AE72542BB3494EA6777A46F063E326,0.0,제주시,애월읍,소길리,"['제주특별자치도', '제주시', '애월읍', '소길리']",33.416098325523606,126.37956932385957
3327,제주특별자치도 제주시 애월읍 봉성리 2907-1,2907-1,제주특별자치도 제주시 애월읍 봉성리,올레소프트,27360921,,0.0,제주시,애월읍,봉성리,"['제주특별자치도', '제주시', '애월읍', '봉성리']",33.41004171248045,126.318129450904
3143,제주특별자치도 제주시 애월읍 수산리 976,976,제주특별자치도 제주시 애월읍 수산리,콩쥐살쥐,25497397,http://t1.daumcdn.net/place/52E779A1A5DE43A9B0C83E3BAFBD4AE7,0.0,제주시,애월읍,수산리,"['제주특별자치도', '제주시', '애월읍', '수산리']",33.46782971214234,126.38788006339946
190,제주특별자치도 제주시 애월읍 유수암리 1178-1,1178-1,제주특별자치도 제주시 애월읍 유수암리,더기카페,79350750,,0.0,제주시,애월읍,유수암리,"['제주특별자치도', '제주시', '애월읍', '유수암리']",33.40574304562356,126.40808255305306
2382,제주특별자치도 제주시 애월읍 고내리 502-1,502-1,제주특별자치도 제주시 애월읍 고내리,예향,9882032,,0.0,제주시,애월읍,고내리,"['제주특별자치도', '제주시', '애월읍', '고내리']",33.46910926482093,126.34198787801917
353,제주특별자치도 제주시 애월읍 애월리 2477,2477,제주특별자치도 제주시 애월읍 애월리,썬셋클리프,611667902,http://t1.daumcdn.net/place/99EEE4C723274F2786F1A3BC2690F21F,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.46183115623703,126.3107023290234
911,제주특별자치도 제주시 애월읍 광령리 1227-2,1227-2,제주특별자치도 제주시 애월읍 광령리,윈드스톤,693016371,http://t1.daumcdn.net/place/C0D9E22A47F34999A5178882AC9ECB9B,0.0,제주시,애월읍,광령리,"['제주특별자치도', '제주시', '애월읍', '광령리']",33.46042746282802,126.43612136922546
2983,제주특별자치도 제주시 애월읍 납읍리 1503-6,1503-6,제주특별자치도 제주시 애월읍 납읍리,푸르메가살고있는곳,1804590593,http://t1.daumcdn.net/localfiy/A6A9FA434AD84D00AB6D09205B7598EB,0.0,제주시,애월읍,납읍리,"['제주특별자치도', '제주시', '애월읍', '납읍리']",33.4359250302414,126.33012577341407
885,제주특별자치도 제주시 애월읍 애월리 1584-1,1584-1,제주특별자치도 제주시 애월읍 애월리,숙이네찻집,1148988883,,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.464413006673254,126.31979087702331
2531,제주특별자치도 제주시 애월읍 하귀1리 1-1,1-1,제주특별자치도 제주시 애월읍 하귀1리,썬플라워,23385255,,0.0,제주시,애월읍,하귀1리,"['제주특별자치도', '제주시', '애월읍', '하귀1리']",33.49059909983849,126.42065920969769
862,제주특별자치도 제주시 애월읍 애월리 1834-4,1834-4,제주특별자치도 제주시 애월읍 애월리,바람이머무는곳,1032727268,http://t1.daumcdn.net/localfiy/E39A04096B2B485683B6EC90016E948C,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.46730328291387,126.3174576297804
2901,제주특별자치도 제주시 애월읍 애월리 2527-3,2527-3,제주특별자치도 제주시 애월읍 애월리,팜파네,1019578215,http://t1.daumcdn.net/localfiy/62077562D64B48968B14923E63E25390,0.0,제주시,애월읍,애월리,"['제주특별자치도', '제주시', '애월읍', '애월리']",33.46321770629906,126.30971463764284
2601,제주특별자치도 제주시 애월읍 광령리 1011-7,1011-7,제주특별자치도 제주시 애월읍 광령리,마마롱,27469103,http://t1.daumcdn.net/place/F759B11FF60E407EA9E3F7411CC3618D,0.0,제주시,애월읍,광령리,"['제주특별자치도', '제주시', '애월읍', '광령리']",33.45218641200801,126.43919486602626
1630,제주특별자치도 제주시 애월읍 신엄리 989-2,989-2,제주특별자치도 제주시 애월읍 신엄리,제주바다다,814472338,http://t1.daumcdn.net/place/76F81F908EEA4A1B8CC98047515DF05B,0.0,제주시,애월읍,신엄리,"['제주특별자치도', '제주시', '애월읍', '신엄리']",33.47802735000738,126.3668375316952
2260,제주특별자치도 제주시 애월읍 광령리 100-3,100-3,제주특별자치도 제주시 애월읍 광령리,카페그라운드,1842038586,http://t1.daumcdn.net/localfiy/F3068018F0054587A8780B635319E5CB,0.0,제주시,애월읍,광령리,"['제주특별자치도', '제주시', '애월읍', '광령리']",33.45667317300415,126.4416872108778
614,제주특별자치도 제주시 애월읍 신엄리 1607,1607,제주특별자치도 제주시 애월읍 신엄리,잇다,1357049944,,0.0,제주시,애월읍,신엄리,"['제주특별자치도', '제주시', '애월읍', '신엄리']",33.462651764759684,126.36791314498082
211,제주특별자치도 제주시 애월읍 납읍리 1021,1021,제주특별자치도 제주시 애월읍 납읍리,제주의꿈,407565533,,0.0,제주시,애월읍,납읍리,"['제주특별자치도', '제주시', '애월읍', '납읍리']",33.43730749097902,126.33639096135856
81,제주특별자치도 제주시 애월읍 유수암리 1038-8,1038-8,제주특별자치도 제주시 애월읍 유수암리,오븐의일,537355719,http://t1.daumcdn.net/localfiy/112AE0CFE9D04F2FBF9EE3C2134591DE,0.0,제주시,애월읍,유수암리,"['제주특별자치도', '제주시', '애월읍', '유수암리']",33.42426546764518,126.40581936765793
