번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
279,강북성실노인교실,서울특별시 강북구 수유동 221-49번지 ,,20040625,운영중,,,,,,,0,0,0,201952.092603       ,459752.739951       ,운영
280,강북성실노인교실,서울특별시 강북구 수유동 221-49번지 ,,20040625,운영중,,,,,,,0,0,2,201952.092603       ,459752.739951       ,운영
281,성베드로노인교실,서울특별시 강북구 수유동 233번지 ,,20050310,운영중,,,,,,,100,0,3,201849.021553       ,460031.063752       ,운영
282,늘푸른노인교실,서울특별시 강북구 미아동 670통38반 ,,20050316,운영중,,,,,,,97,0,9,,,운영
283,요한노인교실,서울특별시 강북구 미아동 301-10번지 ,,20050324,운영중,,,,,,,60,0,9,201966.260203       ,458039.767034       ,운영
284,제일노인교실,서울특별시 강북구 미아동 258-72번지 ,,20050627,운영중,,,,,,,100,0,15,202709.306345       ,458394.138499       ,운영
285,상록노인교실,서울특별시 강북구 미아동 8통8반 ,,20021016,운영중,,,,,,,0,0,3,,,운영
286,행운동 시니어 아카데미,서울특별시 관악구 봉천동 1682-6번지 ,,20110405,운영중,,,,,,,0,,,196513.106422       ,441927.70946        ,운영
287,성가정노인교실,서울특별시 관악구 신림동 646-87번지 ,,20100629,운영중,,,,,,,93,,,193043.575282       ,440915.483584       ,운영
288,삼성산성당 노인교실,서울특별시 관악구 신림동 300-6번지 ,,20100917,운영중,,,,,,,0,,,193843.252606       ,440478.43763        ,운영
289,남문노인교실,서울특별시 관악구 봉천동 14-7번지 ,,20060518,운영중,,,,,,,0,0,0,196245.315764       ,442778.660284       ,운영
290,관악시조노인교실,서울특별시 관악구 봉천동 13-44번지 ,,20080626,운영중,,,,,,,0,0,10,196297.139918       ,442919.239875       ,운영
291,서울실버노인교실,서울특별시 관악구 봉천동 291-1번지 ,,20091230,운영중,,,,,,,0,1,15,196380.664022       ,441331.774432       ,운영
292,푸른노인교실,서울특별시 관악구 봉천동 213-10번지 ,,20060914,운영중,,,,,,,120,1,24,196402.668297       ,441441.244351       ,운영
293,선한이웃효도노인교실,서울특별시 관악구 신림동 481-7번지 ,,20060914,운영중,,,,,,,50,0,9,192815.134361       ,442613.755295       ,운영
294,신도노인교실,서울특별시 관악구 신림동 1577-3번지 ,,20070907,운영중,,,,,,,60,1,5,193041.732363       ,442301.889537       ,운영
295,하상노인교실,서울특별시 관악구 봉천동 1564-10번지 ,,20071122,운영중,,,,,,,76,5,10,,,운영
296,은천노인교실,서울특별시 관악구 신림동 1417번지 ,,20071214,운영중,,,,,,,70,4,8,,,운영
297,천주교 중앙 노인교실,서울특별시 관악구 봉천동 ,,20091230,운영중,,,,,,,95,5,9,,,운영
298,반석노인교실,서울특별시 관악구 봉천동 1565-3번지 ,,20060201,운영중,,,,,,,300,20,25,195168.623326       ,441928.274585       ,운영
299,인애노인교실,서울특별시 관악구 신림동 706-112번지 ,,20060329,운영중,,,,,,,70,0,1,192693.613567       ,441124.353756       ,운영
